SF_Ratio_Pred,Blowdown_Loss_Min,Blowdown_Loss_Max,Enthalpy_Loss_Min,Enthalpy_Loss_Max,FD_Fan_Out_Min,FD_Fan_Out_Max,FeedWater_Temp_Min,FeedWater_Temp_Max,Fuel_Flow_Min,Fuel_Flow_Max,Fuel_Flow_Total_Min,Fuel_Flow_Total_Max,Stack_Loss_Min,Stack_Loss_Max,Stack_Temp_Min,Stack_Temp_Max,Steam_Flow_Min,Steam_Flow_Max
4.5,0,0,1.3,1.7,54,86,56,102,0,3184,1382.601,3123.147,6.8,21,191,247,0,7000
9.3,0,0.2,1.3,1.6,54,86,37,99,0,1560,1293.945,3078.223,7.5,13.8,200,238,2497,7000
7.1,0,0.1,1.3,1.6,54,86,64,103,0,1704,1341.176,3078.139,7.5,16.7,189,237,1350,7000
9.2,0,0.1,1.3,1.6,54,86,67,99,0,1612,1295.475,3078.238,8,14.2,201,235,2052,7000
6.5,0,0.1,1.1,1.7,54,86,58,99,0,1705,1383.506,3078.369,6.8,19.5,165,241,514,7000
11.9,0.1,0.2,1.3,1.6,54,86,37,101,0,1639,1296.543,2725.102,8.5,14.2,186,227,2764,7000
3.5,0,0,1,1.7,54,86,46,106,0,2739,1384.541,3134.363,6.7,73.4,135,250,0,7000
11,0.1,0.1,1.3,1.6,54,86,65,103,0,1728,1294.321,2928.469,7.5,13.7,197,232,2198,7000
8.2,0,0.1,1.3,1.6,54,86,64,103,0,1644,1321.299,2589.915,8,14.3,194,238,1452,7000
11.6,0.1,0.2,1.3,1.6,54,86,38,100,0,2813,1293.52,2737.561,8.2,15.7,184,229,1210,7000
5.6,0,0.1,1.3,1.7,54,86,31,114,0,1704,1361.68,3079.075,7.4,20.1,195,248,1422,7000
5.9,0,0.1,1.2,1.7,54,86,31,112,0,2827,1372.038,3078.796,7,21,175,245,788,7000
5.7,0,0.1,1.3,1.7,54,86,56,110,0,3081,1360.802,3077.965,7.1,35.9,188,242,1605,7000
12.7,0.1,0.1,1.3,1.6,54,86,80,99,0,1706,1296.222,2725.043,6.9,13,205,237,3280,7000
6.1,0,0.1,1.1,1.6,54,86,31,99,0,1707,1302.135,3078.825,7.1,22.7,164,240,0,7000
19.8,0,0.3,0.4,1.6,54,86,32,105,0,1706,1454.937,3026.046,1.2,55.4,35,232,0,7000
13.5,0.1,0.2,1.3,1.6,54,86,65,103,0,1702,1292.847,3026.168,8.1,12.9,191,235,1917,7000
7,0,0.1,1.1,1.7,54,86,58,101,0,2897,1301.356,3078.272,6.3,44.5,140,244,0,7000
14.5,0.1,0.2,1.4,1.6,54,85,65,99,0,1455,1292.729,3026.046,8.2,12.7,205,226,4194,7000
13.7,0.1,0.2,1.3,1.5,56,82,71,103,0,1009,1300.992,2091.956,8.1,12.2,192,231,3593,7000
7.9,0,0.1,1.1,1.6,54,86,63,109,0,2707,1321.111,3079.075,7.2,24.4,167,235,1249,7000
11.4,0.1,0.2,1.3,1.6,54,86,37,102,0,1703,1293.584,2973.16,8.5,26.3,180,241,1333,7000
12.1,0.1,0.2,1.3,1.6,54,86,37,108,0,1664,1294.563,2956.615,8.1,14.4,203,236,2427,7000
9.7,0,0.1,1.2,1.6,54,86,66,99,0,2267,1293.851,3134.088,8.1,48.6,154,234,1692,7000
11.2,0.1,0.2,1.3,1.5,54,86,37,105,0,1351,1293.716,3078.331,7.8,13.1,188,229,2569,7000
19,0,0.2,1,1.5,54,86,85,98,0,1702,1454.937,3134.123,-0.1,49.8,136,216,1179,6329
5.1,0,0,1.2,1.7,54,86,57,103,0,2821,1373.132,3099.112,7.5,34.5,167,249,945,7000
4.9,0,0.1,1.2,1.7,54,86,46,108,0,3183,1301.788,3113.022,6.4,27,165,246,1124,7000
7.6,0,0.1,1.3,1.6,54,86,64,110,0,1772,1357.297,3079.075,7.6,16.4,183,238,1553,7000
7.7,0,0.1,1.3,1.6,54,86,67,99,0,2789,1321.156,2807.741,7.7,14.8,187,235,1579,7000
18,0,0.3,0.9,1.5,54,86,68,91,0,1467,2087.736,2900.011,9.3,40,124,235,967,7000
12.3,0.1,0.2,1.3,1.6,54,84,37,101,0,1327,1297.601,2737.504,8.2,14.3,193,241,1711,7000
6.3,0,0.1,1.1,1.6,54,86,46,101,0,2468,1360.542,3078.571,6.7,18.1,155,237,1509,7000
9,0,0.1,1.2,1.6,54,86,48,100,0,1637,1297.277,3078.272,8.1,18.5,170,240,0,7000
8.3,0,0.1,0.9,1.6,54,86,68,111,0,1704,1311.667,2900.119,7.9,41.4,117,240,832,7000
4.3,0,0,1.2,1.7,54,86,56,103,0,2592,1382.712,3134.088,7.7,21.3,175,251,861,7000
6.6,0,0.1,1.1,1.7,54,86,58,99,0,1705,1302.143,3078.498,6.6,45,142,243,0,7000
7.4,0,0.1,1.2,1.6,54,86,37,99,0,2703,1357.141,2737.437,6.9,20.2,173,239,750,7000
6.9,0,0.1,1.3,1.7,54,86,58,100,0,3085,1301.692,2956.396,6.4,17.4,193,252,1511,7000
13.3,0.1,0.2,1.3,1.6,54,81,66,109,0,1003,1292.854,2094.681,8.2,12.7,203,235,4078,7000
10.9,0.1,0.2,1.3,1.6,54,86,37,100,0,1356,1293.49,2729.585,7.4,12.2,192,234,1863,7000
15.7,0.1,0.2,1.2,1.6,55,76,67,93,0,992,1361.12,2807.579,9.2,15.6,185,227,3858,6916
11.3,0.1,0.1,1.3,1.6,55,82,65,99,0,1252,1293.701,3078.294,8.1,13.7,188,240,2076,7000
17.6,0.1,0.3,1.1,1.6,54,63,66,97,0,642,1722.985,2925.96,9.8,29.7,160,214,764,7000
10.7,0.1,0.2,1.3,1.6,54,86,37,100,0,2023,1293.731,2973.16,7.6,19,184,234,1263,7000
3,0,0,1.2,1.7,54,86,53,103,0,2693,1477.752,3134.483,-0.1,30.7,166,252,0,7000
4.4,0,0,1.1,1.7,54,86,56,112,0,2532,1384.153,3112.477,6.5,27.7,167,251,817,7000
13.1,0.1,0.2,1.3,1.6,55,72,69,113,0,736,1296.388,2528.397,8,13.6,186,228,3357,7000
10.2,0.1,0.2,1.3,1.6,54,86,37,98,0,1603,1293.417,2596.11,7.9,15.3,192,239,2365,7000
1.7,0,0,1.1,1.6,55,86,32,97,0,2552,1723.536,2993.372,6.4,56.8,155,248,0,6329
12,0.1,0.2,1.3,1.6,54,84,65,105,0,901,1294.618,2921.022,8.2,14.3,198,238,2042,7000
8.1,0,0.1,1.2,1.6,54,86,65,104,0,1701,1340.903,2590.035,8,16.7,181,244,0,7000
2,0,0,1.4,1.7,54,86,71,97,0,3222,1690.628,3134.587,6.7,31.1,195,248,1323,6753
8.6,0,0.1,1.1,1.6,54,86,65,99,0,1704,1298.972,3134.213,8.3,49.2,138,235,0,7000
8,0,0.1,1.3,1.6,54,86,38,101,0,1706,1350.62,2735.579,8.5,18.7,187,238,0,7000
12.2,0.1,0.2,1.3,1.6,55,86,66,103,0,1706,1294.592,2729.496,8,13.1,202,234,2577,7000
10.6,0.1,0.1,1.3,1.6,54,86,67,105,0,1343,1294.776,2928.469,8.1,20.5,195,240,1957,7000
10,0.1,0.1,1.3,1.6,54,87,63,102,0,1664,1293.798,2537.171,8,14.1,191,238,2177,7000
9.9,0.1,0.2,1.3,1.6,54,86,37,99,0,1356,1293.272,2928.573,7.4,12.6,197,235,2261,7000
7.8,0,0.1,1.3,1.6,54,86,66,102,0,1684,1321.239,2597.803,7.5,15.4,192,232,1082,7000
12.9,0.1,0.2,1.3,1.6,54,76,67,103,0,908,1300.914,2807.579,7.9,16.1,202,225,3970,7000
9.8,0,0.1,1.3,1.6,54,86,68,101,0,1701,1293.265,2783.709,-0.1,14.5,177,238,1652,7000
17.8,0.2,0.3,1.4,1.5,56,63,72,76,0,397,2095.301,2095.502,10,10.1,197,211,5892,7000
19.1,0.1,0.2,1.4,1.5,54,77,77,98,0,1004,1454.937,2807.579,10.1,17.8,193,213,2459,5919
16.1,0.1,0.2,1.2,1.5,57,86,73,93,366,1704,1299.275,2783.014,-0.1,11,176,223,2728,7000
1.9,0,0,1.2,1.7,54,86,71,97,0,3221,1651.319,3134.587,6.8,139.6,162,252,784,6410
2.3,0,0,0.8,1.7,54,86,26,104,0,3223,1723.542,3134.587,-0.1,371.4,107,247,0,6656
14.4,0.1,0.2,1.3,1.5,54,65,65,99,0,700,1292.838,2588.98,8.1,14.2,203,226,3200,7000
13,0.1,0.2,1.3,1.6,54,86,65,100,0,2925,1292.862,2094.223,6.9,10.9,202,241,4239,7000
11.7,0.1,0.2,1.3,1.6,54,86,37,104,0,1686,1293.542,2956.647,7.9,15,199,232,3191,7000
1.5,0,0,1.2,1.6,54,86,79,98,0,2550,1892.001,3134.587,6.5,30.3,177,235,1135,7000
8.8,0,0.2,1.1,1.6,54,86,37,99,0,1703,1297.364,2900.631,7.9,48.6,137,234,0,7000
8.7,0,0.2,1.3,1.7,54,86,37,99,0,1703,1297.306,2783.709,-0.1,21.9,180,242,1750,7000
